"01"	[9.51739905695707, 3.634619803901542]
"02"	[11.329804213042678, 3.9904378237195095]
"03"	[9.457096004060977, 3.6062596170624532]
"04"	[7.654192199954241, 3.072433118760963]
"05"	[9.352638769560135, 3.3560231230620956]
"06"	[13.744596613990558, 4.55714759167052]
"07"	[11.2960393149459, 3.881907289550198]
"08"	[9.840240453170786, 3.5640934233824844]
"09"	[4.803557832522486, 2.531027259079549]
"10"	[4.958688922485164, 2.4806619151934015]
"11"	[6.87981118528459, 2.903389519031053]
"12"	[11.59471443774388, 3.956617907893913]
